OrderNo,Barcode,TrnType,TrnPrice,TrnQty,TaxPer,TaxValue,DiscAmount,DiscPer,MRP
21,6.66E+11,Sale,1750,1,12.5,194.44,125,6.67,1875
21,9.7E+11,Return,2450,1,12.5,272.22,175,6.67,2625
21,91205927117,Sale,3490,1,12.5,387.78,0,0,3490
22,9.7E+11,Return,-1490,-1,12.5,165.56,0,0,1490
23,8.9E+12,Return,1490,1,12.5,165.56,0,0,1490
23,8.3E+11,Sale,1199,1,4,46.12,0,0,1199
23,9.7E+11,Sale,979,1,4,37.65,0,0,979
24,9.7E+11,Return,2320,1,12.5,257.78,580,20,2900
25,9.7E+11,Sale,850,1,4,32.69,0,0,850
25,8.9E+12,Return,1500,1,4,57.69,0,0,1500
26,8.26E+11,Return,420,1,4,16.15,0,0,420
26,91208500119,Sale,420,2,4,16.15,0,0,420
26,9.7E+11,Return,-2450,-1,12.5,272.22,-1050,30,3500
26,8.9E+12,Return,1740,1,12.5,193.33,1160,40,2900
26,8.3E+11,Return,2340,1,12.5,260,1560,40,3900
27,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
27,8.3E+11,Return,328.3,1,4,12.63,140.7,30,469
28,91209034125,Return,489.3,1,4,18.82,209.7,30,699
28,91208993416,Return,440,1,4,16.92,0,0,440
28,8.85E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
28,91208973500,Return,1199,1,4,46.12,0,0,1199
28,6.66E+11,Return,490,1,4,18.85,210,30,700
28,8.3E+11,Return,750,1,4,28.85,0,0,750
29,8.85E+11,Return,626.5,1,4,24.1,268.5,30,895
29,8.9E+12,Return,1046.5,1,4,40.25,448.5,30,1495
30,6.4E+11,Return,556.5,1,4,21.4,238.5,30,795
30,91208500119,Return,1260,1,12.5,140,540,30,1800
30,8.3E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
31,6.66E+11,Sale,420,1,4,16.15,0,0,420
31,8.9E+12,Return,4680,1,12.5,520,3120,40,7800
32,6.4E+11,Sale,1399,1,4,53.81,0,0,1399
32,8.9E+12,Sale,1199,1,4,46.12,0,0,1199
33,8.9E+12,Return,979,1,4,37.65,0,0,979
33,9.7E+11,Return,1399,1,4,53.81,0,0,1399
34,3.45E+11,Sale,800,1,4,30.77,0,0,800
34,9.7E+11,Sale,749,1,4,28.81,0,0,749
34,8.3E+11,Return,766.5,1,4,29.48,328.5,30,1095
34,8.23E+11,Return,249.5,1,4,9.6,249.5,50,499
35,6.77E+11,Return,280,1,4,10.77,0,0,280
35,8.9E+12,Return,1399,1,4,53.81,0,0,1399
35,8.89E+12,Sale,649,1,4,24.96,0,0,649
36,8.9E+12,Sale,1299,1,4,49.96,0,0,1299
36,91201925896,Return,599,1,4,23.04,0,0,599
37,8.9E+12,Sale,700,1,4,26.92,0,0,700
37,91208994246,Return,849,1,4,32.65,0,0,849
37,91204378392,Sale,80.5,1,4,3.1,11.5,12.5,92
38,6.66E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
38,8.9E+12,Sale,280,1,4,10.77,0,0,280
39,9.12E+11,Sale,1090,1,12.5,121.11,0,0,1090
39,9.8E+11,Sale,700,1,4,26.92,0,0,700
40,91203152399,Sale,979,1,4,37.65,0,0,979
40,91203149139,Return,2096.5,1,4,80.63,898.5,30,2995
41,8.85E+11,Return,849,1,4,32.65,0,0,849
42,91203137877,Sale,420,1,4,16.15,0,0,420
43,8.9E+12,Sale,-420,-1,4,16.15,0,0,420
43,9.7E+11,Return,1957.5,1,12.5,217.5,942.5,32.5,2900
44,8.9E+12,Return,1417.5,1,12.5,157.5,382.5,21.25,1800
44,91208993829,Return,3240,1,12.5,360,1560,32.5,4800
45,91208500119,Sale,-80.5,-1,4,3.1,-11.5,12.5,92
45,9.7E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
46,8.9E+12,Return,731.25,1,12.5,81.25,568.75,43.75,1300
46,91209034125,Return,435.94,1,12.5,48.44,339.06,43.75,775
47,91208026312,Return,1237.5,1,12.5,137.5,962.5,43.75,2200
47,91209034125,Return,208,1,4,8,192,48,400
48,9.7E+11,Sale,5950,1,12.5,661.11,425,6.67,6375
49,8.9E+12,Sale,799,1,4,30.73,0,0,799
50,8.9E+12,Sale,489,1,4,18.81,0,0,489
51,91209284032,Return,469,1,4,18.04,0,0,469
51,8.9E+12,Return,299,1,4,11.5,0,0,299
51,91209034125,Sale,1312.5,1,12.5,145.83,93.75,6.67,1406.25
51,91208994246,Sale,80.5,1,4,3.1,11.5,12.5,92
52,9.7E+11,Return,465.4,1,4,17.9,429.6,48,895
53,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
54,6.4E+11,Return,1496.77,1,4,57.57,-97.77,-6.99,1399
54,91208994246,Return,1247.17,1,4,47.97,251.83,16.8,1499
54,91209034125,Sale,1312.5,1,12.5,145.83,93.75,6.67,1406.25
55,8.26E+11,Return,549,1,4,21.12,0,0,549
55,8.9E+12,Return,749,1,4,28.81,0,0,749
56,8.9E+12,Return,899,1,4,34.58,0,0,899
57,8.9E+12,Sale,3143,1,12.5,349.22,0,0,3143
58,6.85E+11,Sale,979,1,4,37.65,0,0,979
59,8.9E+12,Return,0,1,4,0,299,100,299
60,91206479837,Return,299,1,4,11.5,0,0,299
61,9.7E+11,Sale,-449.5,-1,4,17.29,-179.5,28.54,629
62,9.7E+11,Sale,850,1,4,32.69,0,0,850
63,8.85E+11,Return,849,1,4,32.65,0,0,849
63,91209034125,Return,1063.13,1,12.5,118.13,286.87,21.25,1350
64,8.85E+11,Return,1063.13,1,12.5,118.13,286.87,21.25,1350
65,91208988955,Sale,3920,1,12.5,435.56,280,6.67,4200
66,9.7E+11,Return,0,0,4,0,0,100,499
66,91208983752,Return,0,1,4,0,549,100,549
67,91208988771,Return,649,1,4,24.96,0,0,649
67,9.7E+11,Return,0,1,4,0,749,100,749
67,8.9E+12,Return,1299,1,4,49.96,0,0,1299
68,91208973579,Sale,1090,1,12.5,121.11,0,0,1090
69,8.9E+12,Return,3172.5,1,12.5,352.5,1527.5,32.5,4700
69,91209034125,Sale,349,1,4,13.42,0,0,349
69,91208500119,Sale,115.5,1,4,4.44,16.5,12.5,132
69,9.7E+11,Return,-103.5,-1,4,3.98,-11.5,10,115
70,91209034125,Return,-1500,-1,4,57.69,0,0,1500
70,8.9E+12,Return,565,1,4,21.73,0,0,565
71,8.9E+12,Return,899,1,4,34.58,0,0,899
72,3.45E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
72,9.7E+11,Return,2099,1,4,80.73,0,0,2099
72,5E+11,Sale,486.5,1,4,18.71,69.5,12.5,556
72,8.9E+12,Return,730,1,4,28.08,-81,-12.48,649
73,8.9E+12,Sale,945,1,12.5,105,67.5,6.67,1012.5
74,91208988771,Sale,945,1,12.5,105,67.5,6.67,1012.5
74,91208980355,Sale,2730,1,12.5,303.33,195,6.67,2925
74,8.26E+11,Sale,945,1,12.5,105,67.5,6.67,1012.5
75,6.66E+11,Sale,699,1,4,26.88,0,0,699
75,9.7E+11,Sale,700,1,4,26.92,0,0,700
75,5E+11,Sale,299,1,4,11.5,0,0,299
76,6.4E+11,Sale,1490,1,12.5,165.56,0,0,1490
76,8.9E+12,Sale,87.5,1,4,3.37,12.5,12.5,100
77,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
78,8.9E+12,Sale,649,1,4,24.96,0,0,649
78,91208500119,Sale,849,1,4,32.65,0,0,849
79,8.23E+11,Sale,299,1,4,11.5,0,0,299
79,8.9E+12,Sale,1490,1,12.5,165.56,0,0,1490
80,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
81,91209284032,Sale,3290,1,12.5,365.56,235,6.67,3525
81,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
82,8.85E+11,Sale,1199,1,4,46.12,0,0,1199
82,8.26E+11,Sale,699,1,4,26.88,0,0,699
82,91204335623,Sale,249,1,4,9.58,0,0,249
83,8.9E+12,Sale,1312.5,1,12.5,145.83,93.75,6.67,1406.25
83,91209034125,Sale,699,1,4,26.88,0,0,699
84,91209070260,Sale,279,1,4,10.73,0,0,279
84,91204336170,Sale,80.5,2,4,3.1,23,12.5,92
84,9.7E+11,Sale,115.5,1,4,4.44,16.5,12.5,132
84,8.9E+12,Sale,420,1,4,16.15,0,0,420
85,8.9E+12,Sale,350,1,4,13.46,0,0,350
86,6.85E+11,Sale,1312.5,1,12.5,145.83,93.75,6.67,1406.25
87,9.7E+11,Sale,115.5,1,4,4.44,16.5,12.5,132
88,8.26E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
89,9.9E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
90,8.9E+12,Sale,1490,1,12.5,165.56,0,0,1490
91,8.9E+12,Sale,1090,1,12.5,121.11,0,0,1090
92,8.9E+12,Sale,449,1,4,17.27,0,0,449
92,91204450043,Sale,687,1,4,26.42,0,0,687
93,8.85E+11,Sale,2170,1,12.5,241.11,155,6.67,2325
94,91208500119,Sale,1290,1,12.5,143.33,0,0,1290
94,91208982687,Sale,1889,1,4,72.65,0,0,1889
95,6.66E+11,Sale,455,1,4,17.5,65,12.5,520
96,91208983318,Sale,850,1,4,32.69,0,0,850
96,91209034125,Sale,1199,1,4,46.12,0,0,1199
97,9.7E+11,Sale,1750,1,12.5,194.44,125,6.67,1875
98,91203149139,Sale,80.5,1,4,3.1,11.5,12.5,92
98,9.7E+11,Sale,-1750,-1,12.5,194.44,-125,6.67,1875
99,8.9E+12,Sale,1750,1,12.5,194.44,125,6.67,1875
100,9.7E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
101,91208500119,Sale,899,4,4,34.58,0,0,899
102,91203024450,Sale,350,1,4,13.46,0,0,350
103,9.7E+11,Sale,1199,1,4,46.12,0,0,1199
104,8.9E+12,Sale,420,1,4,16.15,0,0,420
105,6.66E+11,Sale,105,1,4,4.04,15,12.5,120
105,91208982533,Sale,87.5,1,4,3.37,12.5,12.5,100
105,91208994246,Sale,350,1,4,13.46,0,0,350
106,9.7E+11,Sale,1090,1,12.5,121.11,0,0,1090
107,9.9E+11,Sale,542.5,1,12.5,60.28,38.75,6.67,581.25
107,8.9E+12,Sale,559,1,4,21.5,0,0,559
108,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
109,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
110,9.1E+11,Sale,649,1,4,24.96,0,0,649
110,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
111,8.9E+12,Sale,2190,1,12.5,243.33,0,0,2190
112,91209148334,Sale,279,1,4,10.73,0,0,279
112,6.66E+11,Sale,449.5,1,4,17.29,179.5,28.54,629
113,9.7E+11,Sale,1199,1,4,46.12,0,0,1199
113,8.9E+12,Sale,549.5,1,4,21.13,219.5,28.54,769
114,8.9E+12,Sale,699,1,4,26.88,0,0,699
115,5E+11,Sale,629,1,4,24.19,0,0,629
115,8.9E+12,Sale,799,1,4,30.73,0,0,799
116,8.26E+11,Sale,1545,1,12.5,171.67,0,0,1545
116,6.66E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
117,8.9E+12,Sale,87.5,1,4,3.37,12.5,12.5,100
117,6.66E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
117,91208991979,Sale,80.5,1,4,3.1,11.5,12.5,92
118,91208988771,Sale,1199,1,4,46.12,0,0,1199
119,91208994246,Sale,420,1,4,16.15,0,0,420
120,8.9E+12,Sale,599.5,1,4,23.06,239.5,28.55,839
121,8.9E+12,Sale,-1312.5,-1,12.5,145.83,-93.75,6.67,1406.25
122,9.7E+11,Sale,1393,1,12.5,154.78,0,0,1393
122,6.66E+11,Sale,420,1,4,16.15,0,0,420
123,6.4E+11,Sale,2190,1,12.5,243.33,0,0,2190
124,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
125,91208988771,Sale,1190,1,4,45.77,170,12.5,1360
125,91208994246,Sale,419,1,4,16.12,0,0,419
125,91209034125,Sale,769,1,4,29.58,0,0,769
125,91208500119,Sale,899,1,4,34.58,0,0,899
125,91208983356,Sale,1799,1,4,69.19,0,0,1799
125,91208983479,Sale,1312.5,1,12.5,145.83,93.75,6.67,1406.25
125,91208994239,Sale,1000,1,4,38.46,0,0,1000
125,91208995106,Sale,2030,1,12.5,225.56,145,6.67,2175
125,91208988795,Sale,80.5,1,4,3.1,11.5,12.5,92
125,9.7E+11,Sale,70,1,4,2.69,10,12.5,80
125,91207089318,Sale,2190,1,12.5,243.33,0,0,2190
125,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
126,9.7E+11,Sale,-2030,-1,12.5,225.56,-145,6.67,2175
126,91208983752,Sale,-70,-1,4,2.69,-10,12.5,80
127,91206846226,Sale,1199,1,4,46.12,0,0,1199
127,91208983356,Sale,1490,1,12.5,165.56,0,0,1490
127,8.9E+12,Sale,2093,1,12.5,232.56,0,0,2093
128,9.7E+11,Sale,3780,1,12.5,420,270,6.67,4050
129,8.9E+12,Sale,599,1,4,23.04,0,0,599
130,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
131,8.9E+12,Sale,585,1,12.5,65,146.25,20,731.25
132,9.7E+11,Sale,559,1,4,21.5,0,0,559
133,8.9E+12,Sale,489,1,4,18.81,0,0,489
134,9.7E+11,Sale,839,1,4,32.27,0,0,839
135,8.9E+12,Sale,871.5,1,4,33.52,124.5,12.5,996
136,9.7E+11,Sale,2730,1,12.5,303.33,195,6.67,2925
136,8.26E+11,Sale,-80.5,-1,4,3.1,-11.5,12.5,92
136,6.66E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
136,91209034125,Sale,80.5,1,4,3.1,11.5,12.5,92
136,8.85E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
136,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
137,9.7E+11,Sale,420,1,4,16.15,0,0,420
137,8.9E+12,Sale,945,1,12.5,105,67.5,6.67,1012.5
138,8.9E+12,Sale,280,1,4,10.77,0,0,280
139,8.85E+11,Sale,99,1,4,3.81,0,0,99
139,91208088587,Sale,1199,1,4,46.12,0,0,1199
139,91208982533,Sale,80.5,1,4,3.1,11.5,12.5,92
139,91208982687,Sale,2030,1,12.5,225.56,145,6.67,2175
139,91208988771,Sale,280,2,4,10.77,0,0,280
139,6.66E+11,Sale,2099,1,4,80.73,0,0,2099
139,91209034125,Sale,99,1,4,3.81,0,0,99
139,9.12E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
140,9.7E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
140,91209034125,Sale,115.5,2,4,4.44,33,12.5,132
141,6.4E+11,Sale,649,1,4,24.96,0,0,649
141,91208982540,Sale,849,1,4,32.65,0,0,849
142,8.9E+12,Sale,780,1,4,30,260,25,1040
143,8.9E+12,Sale,299,1,4,11.5,0,0,299
143,91209034125,Sale,99,2,4,3.81,0,0,99
144,9.7E+11,Sale,-1393,-1,12.5,154.78,0,0,1393
145,91209070246,Sale,1590,1,12.5,176.67,0,0,1590
145,91209034125,Sale,399,1,4,15.35,0,0,399
146,9.7E+11,Sale,849,1,4,32.65,0,0,849
146,8.9E+12,Sale,299,1,4,11.5,0,0,299
147,4E+11,Sale,2310,1,12.5,256.67,165,6.67,2475
148,6.66E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
148,91208980355,Sale,-1199,-1,4,46.12,0,0,1199
149,5E+11,Sale,1049,1,4,40.35,0,0,1049
150,91209120392,Sale,849,1,4,32.65,0,0,849
150,91209034125,Sale,299,1,4,11.5,0,0,299
150,91206265584,Sale,1049,1,4,40.35,0,0,1049
151,8.9E+12,Sale,449.5,1,4,17.29,179.5,28.54,629
151,91208983479,Sale,1500,1,4,57.69,0,0,1500
152,91201538249,Sale,80.5,3,4,3.1,34.5,12.5,92
153,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
154,9.7E+11,Sale,699,1,4,26.88,0,0,699
155,8.9E+12,Sale,299,1,4,11.5,0,0,299
156,9.7E+11,Sale,559,1,4,21.5,0,0,559
157,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
158,91208994246,Sale,105,1,4,4.04,15,12.5,120
158,9.7E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
159,8.23E+11,Sale,115.5,1,4,4.44,16.5,12.5,132
160,91208992013,Sale,1590,1,12.5,176.67,0,0,1590
161,91204946782,Sale,328,1,4,12.62,0,0,328
162,8.9E+12,Sale,979,1,4,37.65,0,0,979
162,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
162,4E+11,Sale,700,1,4,26.92,100,12.5,800
162,5E+11,Sale,850,1,4,32.69,0,0,850
162,91206336697,Sale,87.5,1,4,3.37,12.5,12.5,100
162,91208983479,Sale,115.5,1,4,4.44,16.5,12.5,132
162,91208983356,Sale,80.5,1,4,3.1,11.5,12.5,92
163,6.76E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
163,91208982540,Sale,105,1,4,4.04,15,12.5,120
163,91208982687,Sale,105,1,4,4.04,15,12.5,120
164,8.9E+12,Sale,115.5,1,4,4.44,16.5,12.5,132
165,9.7E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
166,8.26E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
166,91208500119,Sale,420,1,4,16.15,0,0,420
166,8.9E+12,Sale,840,1,4,32.31,120,12.5,960
166,9.7E+11,Sale,850,1,4,32.69,0,0,850
166,91208988771,Sale,419,1,4,16.12,0,0,419
167,8.85E+11,Sale,650,1,4,25,0,0,650
167,91209034125,Sale,899,1,4,34.58,0,0,899
167,91208982687,Sale,700,1,4,26.92,0,0,700
168,91206265584,Sale,-350,-1,4,13.46,0,0,350
168,91206257701,Sale,-1199,-1,4,46.12,0,0,1199
169,9.7E+11,Sale,1500,1,4,57.69,0,0,1500
169,91209034125,Sale,105,1,4,4.04,15,12.5,120
169,6.66E+11,Sale,105,1,4,4.04,15,12.5,120
170,91208980355,Sale,105,1,4,4.04,15,12.5,120
171,8.9E+12,Sale,1590,1,12.5,176.67,0,0,1590
172,91209292013,Sale,700,1,4,26.92,0,0,700
173,9.7E+11,Sale,1000,1,4,38.46,0,0,1000
173,91209034125,Sale,350,1,4,13.46,0,0,350
174,8.9E+12,Sale,1399,1,4,53.81,0,0,1399
175,91203133022,Sale,1290,1,12.5,143.33,0,0,1290
175,8.9E+12,Sale,559,1,4,21.5,0,0,559
175,9.7E+11,Sale,2190,1,12.5,243.33,0,0,2190
175,5E+11,Sale,1199,1,4,46.12,0,0,1199
175,91209034125,Sale,279,1,4,10.73,0,0,279
175,91208992013,Sale,849,1,4,32.65,0,0,849
176,9.7E+11,Sale,559,1,4,21.5,0,0,559
177,8.23E+11,Sale,849,1,4,32.65,0,0,849
178,9.7E+11,Sale,1399,1,4,53.81,0,0,1399
179,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
179,91209034125,Sale,80.5,1,4,3.1,11.5,12.5,92
179,91204336170,Sale,80.5,5,4,3.1,57.5,12.5,92
179,91208994765,Sale,3150,1,12.5,350,225,6.67,3375
180,91208982540,Sale,99,1,4,3.81,0,0,99
180,91209034125,Sale,849,1,4,32.65,0,0,849
180,91208989945,Sale,999,1,4,38.42,0,0,999
180,91203168246,Sale,99,1,4,3.81,0,0,99
181,9.7E+11,Sale,1253,1,12.5,139.22,0,0,1253
181,8.9E+12,Sale,770,1,4,29.62,110,12.5,880
181,91209034125,Sale,696.5,1,4,26.79,99.5,12.5,796
181,91204336163,Sale,87.5,1,4,3.37,12.5,12.5,100
182,91208995090,Sale,87.5,1,4,3.37,12.5,12.5,100
182,91204335838,Sale,87.5,1,4,3.37,12.5,12.5,100
182,91208982540,Sale,80.5,1,4,3.1,11.5,12.5,92
182,91208982502,Sale,80.5,2,4,3.1,23,12.5,92
182,9.7E+11,Sale,486.5,1,4,18.71,69.5,12.5,556
183,9.7E+11,Sale,-1260.03,-1,4,48.46,-38.97,3,1299
183,9.9E+11,Sale,1199,1,4,46.12,0,0,1199
184,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
185,8.85E+11,Sale,1312.5,1,12.5,145.83,93.75,6.67,1406.25
185,91209034125,Sale,87.5,1,4,3.37,12.5,12.5,100
186,9.7E+11,Sale,349,1,4,13.42,0,0,349
187,8.26E+11,Sale,1490,1,12.5,165.56,0,0,1490
188,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
189,9.7E+11,Sale,420,1,4,16.15,0,0,420
189,8.9E+12,Sale,2030,1,12.5,225.56,145,6.67,2175
189,91208994246,Sale,80.5,1,4,3.1,11.5,12.5,92
189,91209034125,Sale,-420,-1,4,16.15,0,0,420
189,91208994239,Sale,699,1,4,26.88,0,0,699
190,8.85E+11,Sale,749.5,1,4,28.83,299.5,28.55,1049
191,91208992013,Sale,80.5,1,4,3.1,11.5,12.5,92
192,91209070246,Sale,87.5,1,4,3.37,12.5,12.5,100
192,6.4E+11,Sale,449.5,1,4,17.29,179.5,28.54,629
192,91208500119,Sale,1820,1,12.5,202.22,130,6.67,1950
193,9.7E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
193,91203152467,Sale,1575,1,4,60.58,225,12.5,1800
193,91203152399,Sale,769,1,4,29.58,0,0,769
193,8.85E+11,Sale,105,1,4,4.04,15,12.5,120
193,91209034125,Sale,2940,1,12.5,326.67,210,6.67,3150
193,91208992013,Sale,1500,1,4,57.69,0,0,1500
194,8.9E+12,Sale,849,1,4,32.65,0,0,849
195,9.7E+11,Sale,899,1,4,34.58,0,0,899
196,8.26E+11,Sale,420,1,4,16.15,0,0,420
196,91208500126,Sale,849,1,4,32.65,0,0,849
197,8.9E+12,Sale,115.5,1,4,4.44,16.5,12.5,132
198,8.23E+11,Sale,849,1,4,32.65,0,0,849
199,8.9E+12,Sale,1172.5,1,12.5,130.28,83.75,6.67,1256.25
200,9.7E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
201,8.9E+12,Sale,1050,1,12.5,116.67,75,6.67,1125
201,91201623136,Sale,299,1,4,11.5,0,0,299
201,91208992013,Sale,420,1,4,16.15,0,0,420
201,91208992006,Sale,549.5,1,4,21.13,219.5,28.54,769
201,8.85E+11,Sale,224.5,1,4,8.63,89.5,28.5,314
201,91208988948,Sale,871.5,1,4,33.52,124.5,12.5,996
201,91209034125,Sale,105,1,4,4.04,15,12.5,120
201,91208500119,Sale,105,1,4,4.04,15,12.5,120
202,8.9E+12,Sale,1820,1,12.5,202.22,130,6.67,1950
203,8.9E+12,Sale,87.5,1,4,3.37,12.5,12.5,100
204,8.9E+12,Sale,87.5,1,4,3.37,12.5,12.5,100
205,8.9E+12,Sale,279,1,4,10.73,0,0,279
206,8.9E+12,Sale,1199,1,4,46.12,0,0,1199
207,91208980355,Sale,350,1,4,13.46,0,0,350
207,6.4E+11,Sale,420,1,4,16.15,0,0,420
208,8.9E+12,Sale,649,1,4,24.96,0,0,649
208,8.26E+11,Sale,80.5,1,4,3.1,11.5,12.5,92
209,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
210,8.9E+12,Sale,99,1,4,3.81,0,0,99
210,8.26E+11,Sale,1199,1,4,46.12,0,0,1199
211,6.76E+11,Sale,87.5,1,4,3.37,12.5,12.5,100
211,91204537010,Sale,1382.5,1,12.5,153.61,98.75,6.67,1481.25
212,8.9E+12,Sale,80.5,1,4,3.1,11.5,12.5,92
