CustomerKey,MaritalStatus,YearlyIncome,TotalChildren,ChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,Age,BikeBuyer
11126,M,10000,2,1,0,2,65,1
11127,M,40000,0,0,1,1,38,0
11128,M,40000,0,0,1,1,38,0
11129,S,40000,0,0,1,1,38,1
11130,M,30000,0,0,1,2,34,0
11131,M,30000,0,0,0,2,34,0
11132,S,30000,0,0,0,2,33,1
11133,S,30000,0,0,0,2,33,0
11134,S,10000,5,0,1,2,68,1
11135,S,30000,0,0,0,2,34,1
11136,S,40000,0,0,0,2,35,1
11137,M,40000,0,0,1,2,35,0
11138,M,40000,0,0,0,2,35,0
11139,S,30000,2,0,0,2,75,0
11140,S,30000,0,0,0,2,37,0
11141,M,40000,0,0,0,2,36,0
11142,S,40000,0,0,0,2,36,0
11143,M,40000,0,0,1,2,37,0
11144,S,40000,0,0,0,2,34,1
11145,S,40000,0,0,0,2,34,1
11146,S,40000,2,0,1,2,74,0
11147,M,60000,2,0,1,1,75,1
11148,M,40000,2,0,1,2,72,0
11149,M,40000,2,0,1,2,72,0
11150,S,40000,2,0,1,2,73,0
11151,S,60000,2,0,0,1,72,1
11152,S,40000,0,0,1,2,38,1
11153,M,40000,0,0,1,2,37,0
11154,S,40000,0,0,1,1,37,1
11155,S,40000,0,0,0,1,38,1
11156,S,40000,0,0,0,1,38,1
11157,M,40000,0,0,1,2,38,0
11158,S,40000,0,0,1,2,38,1
11159,S,40000,0,0,0,2,38,0
11160,S,40000,0,0,0,1,40,1
11161,S,40000,0,0,0,1,39,0
11162,S,40000,0,0,1,1,40,1
11163,M,40000,0,0,1,1,39,0
11164,S,40000,0,0,0,1,39,0
11165,M,60000,0,0,0,1,40,0
11166,S,70000,0,0,0,2,41,0
11167,S,80000,0,0,0,1,41,1
11168,S,80000,0,0,0,1,45,1
11169,M,90000,4,4,1,1,45,0
11170,M,90000,4,4,1,1,46,0
11171,S,100000,1,0,1,2,46,1
11172,M,100000,1,0,1,2,46,0
11173,S,110000,0,0,0,4,46,0
11174,M,110000,0,1,1,0,46,0
11175,S,70000,0,0,1,2,51,1
11176,M,90000,4,4,1,1,46,0
11177,M,110000,2,4,1,2,71,0
11178,M,100000,2,3,1,3,70,0
11179,M,120000,2,4,1,3,70,0
11180,M,160000,1,3,1,4,71,0
11181,M,170000,2,3,1,2,70,0
11182,S,70000,4,0,1,2,69,0
11183,S,70000,4,0,1,2,69,0
11184,S,70000,4,0,1,2,69,0
11185,S,70000,4,0,1,2,69,0
11186,S,70000,4,0,1,2,69,0
11187,M,60000,4,0,1,2,70,0
11188,M,60000,4,0,0,2,69,0
11189,S,60000,4,0,1,2,69,1
11190,M,70000,5,0,1,2,69,0
11191,S,70000,5,0,1,3,68,1
11192,M,60000,4,0,1,2,68,0
11193,M,60000,4,0,1,2,69,0
11194,M,60000,4,0,1,2,68,0
11195,M,60000,5,0,1,3,68,0
11196,M,60000,5,0,1,3,67,0
11197,M,70000,3,1,0,1,67,0
11198,S,70000,4,1,1,1,67,0
11199,M,70000,4,1,1,1,67,0
11200,M,70000,4,1,1,1,66,0
11201,M,70000,4,1,1,1,66,0
11202,M,80000,5,0,0,2,66,0
11203,M,40000,2,1,1,2,65,0
11204,M,40000,2,1,1,2,65,0
11205,M,40000,2,1,1,2,65,0
11206,M,60000,2,1,1,1,65,0
11207,S,60000,2,1,1,1,65,0
11208,M,60000,2,1,1,0,66,0
11209,M,60000,2,1,1,0,66,0
11210,M,70000,4,1,1,2,65,0
11211,M,40000,2,1,1,2,64,0
11212,M,40000,2,1,1,2,64,0
11213,S,60000,2,1,1,2,64,0
11214,S,60000,2,1,1,2,64,0
11215,M,40000,2,1,1,2,63,0
11216,S,60000,2,1,1,2,63,1
11217,S,60000,2,1,1,2,64,1
11218,S,60000,2,1,0,2,63,0
11219,M,60000,2,1,1,2,63,0
11220,M,60000,2,1,1,1,64,0
11221,M,70000,4,2,1,1,63,0
11222,M,80000,3,1,1,1,63,0
11223,S,70000,2,1,1,2,62,0
11224,S,70000,2,1,1,2,62,1
11225,M,60000,2,1,1,1,63,0
11226,M,60000,2,1,1,1,62,0
11227,S,60000,2,1,1,2,62,1
11228,M,60000,2,1,1,2,62,0
11229,S,70000,4,2,1,1,62,0
11230,M,70000,4,2,0,2,63,0
11231,M,60000,2,1,1,2,61,0
11232,M,60000,3,1,0,2,61,0
11233,M,70000,4,2,1,2,61,0
11234,S,70000,4,2,1,2,61,0
11235,M,70000,4,2,1,2,62,0
11236,S,70000,5,2,1,2,62,0
11237,S,130000,2,3,0,4,55,1
11238,S,130000,2,3,0,4,55,1
11239,M,130000,2,4,0,2,55,1
11240,M,160000,2,3,1,4,55,1
11241,S,100000,2,3,1,4,56,1
11242,M,110000,2,4,1,3,56,1
11243,M,150000,2,3,1,3,56,1
11244,S,170000,2,3,0,3,56,1
11245,M,120000,3,4,0,4,57,1
11246,M,120000,3,4,0,4,57,1
11247,S,130000,3,4,0,3,57,1
11248,M,110000,3,4,1,4,59,0
11249,M,130000,3,4,1,3,58,1
11250,M,170000,3,4,1,2,59,1
11251,S,30000,4,0,0,2,81,1
11252,S,90000,3,0,1,1,81,1
11253,M,60000,2,0,1,2,81,0
11254,M,70000,4,0,1,2,81,0
11255,M,70000,4,0,1,2,81,0
11256,M,70000,4,0,1,2,80,0
11257,S,120000,1,2,1,4,81,1
11258,M,120000,1,2,1,4,80,0
11259,M,100000,4,1,1,4,49,1
11260,M,110000,2,2,1,3,49,0
11261,M,130000,1,2,1,1,48,1
11262,M,80000,4,3,1,0,49,0
11263,M,90000,5,5,1,3,49,1
11264,S,90000,5,5,0,3,49,1
11265,M,90000,5,5,1,3,49,1
11266,S,90000,0,0,0,1,49,1
11267,S,120000,4,2,1,4,49,1
11268,M,130000,2,2,1,2,49,0
11269,M,130000,2,2,1,2,49,0
11270,M,130000,2,2,1,3,49,1
11271,S,150000,2,0,0,4,49,1
11272,S,70000,4,3,1,0,57,1
11273,M,90000,2,1,1,0,57,0
11274,M,50000,2,0,1,2,80,1
11275,M,80000,4,0,1,2,80,1
11276,M,80000,4,3,1,2,50,0
11277,M,80000,4,3,1,2,50,0
11278,S,90000,0,0,0,1,50,1
11279,M,90000,0,0,1,1,50,0
11280,M,90000,0,0,1,1,50,0
11281,S,110000,4,2,1,4,50,1
11282,M,90000,5,4,1,4,52,1
11283,M,110000,1,3,1,2,51,0
11284,M,110000,1,3,1,2,52,0
11285,M,120000,1,3,0,4,52,0
11286,M,170000,0,0,1,4,52,1
11287,M,70000,5,4,0,3,53,0
11288,M,110000,1,3,1,3,52,0
11289,M,130000,1,3,1,1,53,1
11290,M,130000,1,3,1,3,52,1
11291,M,130000,1,3,1,3,52,1
11292,S,150000,1,2,0,3,52,1
11293,S,60000,2,0,0,2,58,0
11294,M,60000,2,0,0,2,58,0
11295,S,80000,2,0,1,2,59,1
11296,S,50000,2,0,1,2,78,1
11297,S,70000,4,0,1,2,79,1
11298,M,70000,4,0,1,2,79,1
11299,M,70000,4,0,1,2,78,1
11300,M,80000,5,4,0,3,54,0
11301,M,80000,5,4,1,4,53,0
11302,S,90000,4,3,0,3,53,1
11303,S,90000,4,3,0,3,53,1
11304,M,100000,0,3,1,0,54,0
11305,M,110000,3,3,0,4,53,0
11306,M,110000,3,3,0,4,53,0
11307,M,80000,2,0,1,2,59,1
11308,M,60000,2,0,0,2,60,0
11309,S,60000,2,0,1,2,59,0
11310,S,70000,3,0,1,2,60,0
11311,S,70000,3,0,0,2,60,0
11312,S,70000,3,0,1,2,61,0
11313,S,70000,3,0,1,2,61,0
11314,S,70000,3,0,0,2,60,0
11315,S,70000,3,0,0,2,60,0
11316,M,60000,3,0,1,2,60,1
11317,S,40000,3,0,0,2,61,1
11318,S,40000,3,0,0,2,61,0
11319,M,70000,4,0,0,2,76,1
11320,M,80000,4,0,1,2,76,0
11321,M,90000,5,0,1,2,75,0
11322,M,90000,5,0,1,2,76,0
11323,S,120000,2,4,1,3,75,1
11324,M,90000,5,0,1,2,74,1
11325,S,90000,5,0,1,2,74,1
11326,M,130000,2,3,1,4,74,1
11327,M,90000,5,0,1,2,74,1
11328,M,90000,5,0,1,2,74,1
11329,S,90000,5,0,1,2,73,1
11330,M,110000,2,4,1,1,73,0
11331,M,90000,4,4,1,2,45,0
11332,S,10000,1,0,1,0,51,1
11333,M,20000,1,0,1,0,51,1
11334,M,10000,1,0,1,0,53,1
11335,M,10000,1,0,1,0,52,1
11336,M,20000,1,0,1,0,52,1
11337,M,10000,1,0,1,0,52,1
11338,M,20000,1,0,1,0,52,1
11339,S,20000,1,0,1,0,52,1
11340,M,10000,1,0,1,0,78,1
11341,M,20000,1,0,1,0,77,1
11342,M,30000,5,0,1,0,52,0
11343,M,10000,1,0,1,0,55,1
11344,M,10000,1,0,1,0,56,1
11345,S,10000,1,0,1,0,57,1
11346,S,10000,2,0,1,1,58,1
11347,M,10000,2,0,1,1,58,0
11348,M,10000,2,0,1,1,58,0
11349,M,10000,2,0,1,1,59,0
11350,M,30000,1,0,1,0,77,0
11351,S,20000,1,0,1,0,75,1
11352,M,10000,2,0,1,1,74,0
11353,S,30000,1,0,1,0,72,1
11354,M,20000,1,0,1,0,72,0
11355,M,40000,1,0,1,0,71,0
11356,S,10000,0,0,0,1,33,1
11357,S,10000,0,0,0,1,35,1
11358,S,10000,0,0,0,1,35,1
11359,S,10000,0,0,0,1,35,1
11360,S,10000,0,0,1,1,35,1
11361,M,10000,0,0,1,2,36,0
11362,M,10000,0,0,0,2,36,0
11363,S,10000,0,0,0,2,36,1
11364,S,10000,1,1,0,0,34,1
11365,S,10000,1,1,0,0,34,1
11366,M,20000,0,0,1,0,34,0
11367,M,20000,0,0,1,0,35,0
11368,S,10000,1,1,0,0,35,1
11369,M,20000,0,0,0,0,35,0
11370,M,20000,0,0,1,0,36,0
11371,M,20000,0,0,1,0,35,0
11372,S,20000,0,0,1,0,35,1
11373,M,30000,1,0,1,0,70,0
11374,S,30000,1,0,1,0,70,0
11375,M,30000,1,0,1,0,70,0
11376,S,40000,1,0,1,0,70,0
11377,M,30000,4,0,1,0,53,0
11378,S,10000,1,1,0,1,53,1
11379,M,10000,1,1,1,1,54,1
11380,S,20000,2,0,1,1,55,1
11381,M,20000,2,0,1,1,54,1
11382,M,20000,2,0,1,1,56,1
11383,M,30000,3,0,1,0,53,0
11384,M,30000,3,0,1,0,53,0
11385,S,30000,3,0,1,0,53,0
11386,M,30000,3,0,1,0,53,0
11387,S,40000,3,0,1,0,54,1
11388,M,40000,3,0,1,0,54,1
11389,S,10000,1,1,0,1,43,0
11390,S,10000,1,1,0,1,43,0
11391,S,10000,2,2,1,0,43,0
11392,S,10000,2,2,1,0,44,0
11393,S,10000,2,2,1,0,45,0
11394,S,10000,2,2,1,0,44,1
11395,S,30000,0,0,1,0,43,1
11396,M,10000,2,2,0,1,44,0
11397,S,20000,0,0,0,1,44,0
11398,S,30000,0,0,1,0,44,1
11399,S,30000,1,0,1,0,44,0
11400,S,40000,0,0,1,0,44,1
11401,M,40000,0,0,1,0,44,1
11402,M,40000,0,0,1,0,44,1
11403,S,40000,0,0,1,0,45,1
11404,S,10000,3,0,0,2,62,0
11405,S,10000,3,0,0,2,62,0
11406,M,20000,2,0,1,1,61,1
11407,M,20000,2,0,1,1,62,0
11408,M,10000,2,1,0,2,60,0
11409,S,10000,2,2,1,1,46,1
11410,M,20000,1,1,1,0,45,1
11411,M,80000,3,2,0,1,60,0
11412,S,80000,4,2,1,1,60,1
11413,M,80000,4,2,0,1,59,1
11414,S,80000,4,2,1,1,60,1
11415,S,90000,5,0,0,2,69,0
11416,M,60000,3,1,1,4,69,1
11417,M,70000,5,1,1,2,69,1
11418,S,90000,5,0,0,2,69,0
11419,M,150000,3,4,1,4,69,0
11420,M,100000,2,3,1,4,67,1
11421,M,110000,3,4,1,4,67,1
11422,M,170000,4,4,1,3,67,1
11423,M,80000,4,2,0,1,59,1
11424,M,80000,4,2,1,2,60,0
11425,M,90000,4,2,1,2,59,1
11426,M,110000,3,4,1,4,60,0
11427,M,110000,2,5,1,2,60,1
11428,S,120000,2,5,1,2,60,1
11429,M,80000,4,1,1,2,61,1
11430,M,90000,4,1,1,2,62,0
11431,M,110000,4,5,1,2,61,1
11432,M,80000,4,2,1,2,62,1
11433,M,80000,5,2,0,2,62,1
11434,M,170000,5,5,1,4,62,0
11435,S,100000,3,4,1,4,64,0
11436,M,160000,3,5,0,4,63,0
11437,M,90000,4,1,1,3,64,0
11438,M,130000,4,5,1,4,64,0
11439,M,90000,4,1,0,3,65,1
11440,M,80000,5,0,0,2,66,0
11441,M,90000,5,0,0,2,66,0
11442,M,90000,5,0,1,2,66,0
11443,S,60000,0,0,0,4,37,1
11444,M,70000,0,0,1,3,37,1
11445,S,70000,0,0,0,3,39,1
11446,S,70000,0,0,0,3,39,1
11447,M,70000,0,0,1,4,39,1
11448,S,80000,0,0,1,3,38,1
11449,M,80000,0,0,1,3,39,1
11450,S,130000,4,5,1,4,38,1
11451,S,70000,0,0,0,4,39,1
11452,S,80000,0,0,0,3,40,1
11453,S,80000,0,0,0,3,40,1
11454,S,80000,0,0,0,3,39,1
11455,M,100000,0,5,1,2,39,1
11456,M,120000,5,5,1,4,39,1
11457,M,90000,0,0,1,3,40,1
11458,M,100000,0,5,1,2,41,0
11459,S,80000,0,0,0,3,41,1
11460,S,90000,0,0,0,3,41,1
11461,S,90000,0,0,0,3,42,1
11462,M,110000,0,5,1,4,42,1
11463,M,110000,0,5,0,4,42,0
11464,M,90000,0,0,1,4,42,1
11465,M,90000,0,0,0,4,43,1
11466,M,150000,0,5,1,4,42,0
11467,M,170000,1,5,1,4,44,0
11468,M,40000,1,1,1,0,38,1
11469,S,10000,0,0,0,2,40,0
11470,S,20000,0,0,0,2,40,1
11471,S,30000,0,0,1,1,40,0
11472,S,60000,3,2,1,2,51,1
11473,S,20000,0,0,0,2,33,0
11474,S,20000,0,0,1,2,34,0
11475,S,30000,0,0,0,1,35,0
11476,M,40000,1,1,1,0,39,0
11477,S,30000,0,0,0,1,40,0
11478,S,30000,0,0,0,1,41,0
11479,M,40000,1,1,1,0,40,1
11480,M,40000,1,1,1,0,41,1
11481,M,40000,1,1,1,0,40,1
11482,S,30000,0,0,0,1,41,1
11483,M,40000,1,1,1,1,41,1
11484,S,40000,2,2,1,0,42,1
11485,M,40000,2,2,0,0,41,1
11486,S,10000,0,0,1,2,42,0
11487,S,10000,0,0,0,2,42,0
11488,S,20000,0,0,1,2,42,1
11489,S,20000,0,0,0,2,43,1
11490,S,20000,0,0,0,2,43,0
11491,M,20000,0,0,0,2,43,1
11492,S,30000,0,0,0,1,42,1
11493,S,40000,2,2,1,0,43,1
11494,S,40000,2,2,1,0,43,1
11495,S,40000,2,2,1,1,42,0
11496,S,40000,2,2,1,2,43,1
11497,S,40000,2,2,1,2,43,0
11498,S,40000,3,3,1,2,40,0
11499,S,40000,3,3,1,2,39,0
11500,S,40000,0,0,1,0,39,0
11501,S,40000,3,3,1,2,38,0
11502,S,40000,4,4,1,1,39,0
11503,M,50000,1,0,1,0,83,0
11504,M,40000,1,0,1,1,82,0
11505,S,60000,0,0,1,0,47,0
11506,S,60000,0,0,0,0,47,0
11507,S,60000,0,0,1,0,47,0
11508,S,60000,0,0,1,0,47,0
11509,M,30000,1,0,1,1,60,0
11510,M,30000,1,0,1,1,60,0
11511,M,30000,1,0,1,1,60,0
11512,S,20000,3,0,1,2,59,1
11513,S,20000,3,0,0,2,59,1
11514,M,30000,1,0,1,1,59,0
11515,M,30000,1,0,1,1,60,1
11516,M,30000,1,0,1,1,59,1
11517,M,40000,1,0,1,1,59,0
11518,M,40000,1,0,1,1,58,0
11519,M,40000,1,0,1,1,59,0
11520,M,40000,1,0,1,1,59,0
11521,M,40000,1,0,1,1,58,0
11522,M,80000,5,0,1,0,58,1
11523,M,40000,1,0,1,1,57,1
11524,M,40000,1,0,1,1,58,0
11525,M,40000,1,0,1,1,58,1
11526,M,40000,1,0,1,1,57,1
11527,M,40000,1,0,1,1,57,0
11528,M,40000,1,0,1,1,56,1
11529,M,40000,1,0,1,1,56,1
11530,M,40000,1,0,1,1,56,0
11531,M,40000,1,0,1,1,57,1
11532,M,40000,1,0,1,1,57,0
11533,M,40000,1,0,1,1,56,0
11534,S,60000,4,0,1,0,55,1
11535,M,60000,4,0,1,0,55,1
11536,M,60000,4,0,1,0,55,1
11537,M,60000,4,0,1,0,56,1
11538,S,60000,4,0,0,0,54,1
11539,M,60000,4,0,1,0,54,1
11540,S,60000,4,0,1,0,55,1
11541,S,60000,4,0,0,0,55,1
11542,S,20000,1,1,0,0,45,0
11543,M,20000,1,1,1,1,46,0
11544,M,30000,1,0,1,0,45,0
11545,M,30000,1,0,1,0,46,0
11546,M,30000,1,1,1,0,46,1
11547,M,40000,0,0,1,0,46,1
11548,S,40000,0,0,1,0,45,1
11549,M,40000,0,0,1,0,45,1
11550,S,40000,0,0,1,0,45,1
11551,S,10000,3,3,1,1,46,0
11552,S,20000,1,1,0,1,46,0
11553,M,20000,1,1,1,1,46,0
11554,S,10000,4,0,1,2,87,0
11555,M,40000,1,0,1,0,87,0
11556,M,20000,1,1,1,1,46,0
11557,S,30000,1,1,0,0,47,0
11558,S,30000,1,1,0,0,46,0
11559,S,30000,1,1,0,1,46,0
11560,S,30000,1,1,0,1,46,0
11561,S,10000,5,5,1,2,47,1
11562,M,20000,1,1,1,1,47,0
11563,S,20000,1,1,0,1,48,0
11564,S,20000,1,1,0,2,47,1
11565,S,20000,2,2,1,0,47,0
11566,M,40000,0,0,1,0,46,0
11567,M,40000,0,0,1,0,46,0
11568,S,20000,2,2,1,0,47,1
11569,M,30000,1,1,1,1,47,0
11570,M,30000,1,1,1,2,48,1
11571,M,30000,1,1,1,2,47,1
11572,M,30000,1,1,1,2,48,1
11573,S,20000,2,2,1,1,48,0
11574,S,20000,2,2,1,1,48,0
11575,S,20000,2,2,1,2,48,1
11576,M,30000,1,1,1,2,49,1
11577,M,30000,1,1,1,2,48,1
11578,S,10000,3,2,1,2,49,1
11579,S,20000,3,3,1,1,49,0
11580,M,30000,1,0,1,1,80,0
11581,M,40000,0,0,1,0,47,0
11582,S,30000,2,2,1,0,51,1
11583,S,30000,2,2,1,0,48,1
11584,M,40000,1,0,1,0,48,0
11585,M,40000,1,0,1,0,49,0
11586,M,40000,1,0,1,0,48,0
11587,S,30000,2,2,1,2,49,1
11588,M,30000,2,2,0,2,49,1
11589,M,40000,1,0,1,0,49,0
11590,S,30000,2,2,1,2,50,1
11591,S,30000,3,3,1,0,50,1
11592,S,20000,0,0,0,1,35,1
11593,S,20000,0,0,1,1,37,1
11594,S,20000,4,4,1,2,34,0
11595,S,20000,5,5,1,3,34,0
11596,M,40000,1,0,1,0,50,0
11597,S,30000,3,3,1,2,36,0
11598,S,30000,3,3,1,3,35,1
11599,S,20000,0,0,0,1,36,1
11600,S,30000,0,0,0,1,37,0
11601,S,30000,0,0,1,1,36,1
11602,S,30000,0,0,0,1,37,0
11603,S,30000,0,0,0,1,37,1
11604,S,30000,0,0,1,1,36,1
11605,S,20000,0,0,0,1,37,1
11606,S,10000,0,0,0,2,39,1
11607,S,20000,0,0,1,1,38,1
11608,S,20000,0,0,0,1,38,0
11609,S,30000,0,0,0,1,37,1
11610,S,30000,0,0,0,1,38,1
11611,M,20000,0,0,0,1,40,1
11612,S,20000,0,0,0,2,39,1
11613,S,30000,0,0,0,1,38,1
11614,S,30000,0,0,0,1,38,1
11615,M,40000,1,1,1,0,38,1
11616,M,40000,1,1,1,0,39,1
11617,S,60000,4,0,0,0,55,1
11618,M,60000,4,0,1,0,54,1
11619,S,50000,0,0,1,0,40,0
11620,S,50000,0,0,1,0,40,0
11621,S,50000,0,0,0,0,41,0
11622,M,50000,0,0,1,0,40,0
11623,S,50000,1,0,1,0,40,1
11624,S,50000,1,0,1,0,41,1
11625,M,50000,1,0,1,0,41,1
11626,M,50000,1,0,1,0,40,1
11627,M,60000,1,0,1,0,41,0
11628,S,40000,1,0,1,0,41,1
11629,S,40000,4,4,1,3,43,1
11630,M,60000,1,0,1,0,42,1
11631,M,60000,1,1,1,0,43,0
11632,M,60000,1,1,1,0,42,0
11633,M,40000,1,1,1,0,41,0
11634,M,60000,1,0,1,0,41,0
11635,M,60000,1,0,1,0,41,0
11636,S,60000,1,0,1,0,41,0
11637,M,70000,1,0,1,0,41,0
11638,M,70000,1,0,1,0,42,0
11639,M,70000,1,0,1,0,41,0
11640,M,50000,1,1,1,0,43,0
11641,M,50000,1,1,1,0,43,0
11642,M,50000,1,1,1,1,43,0
11643,M,50000,1,1,1,1,43,0
11644,S,40000,2,2,1,0,44,0
11645,S,40000,2,2,1,0,44,0
11646,S,40000,2,2,1,0,45,0
11647,S,40000,2,2,0,0,44,1
11648,S,60000,1,0,1,0,44,0
11649,M,60000,1,0,1,0,45,0
11650,M,60000,1,0,1,0,44,0
11651,M,60000,1,0,1,0,42,0
11652,M,60000,1,0,1,0,42,0
11653,S,60000,1,0,1,0,42,0
11654,M,60000,1,0,1,0,42,1
11655,S,70000,2,0,1,0,43,0
11656,M,70000,3,0,1,0,42,0
11657,M,70000,3,0,1,0,42,0
11658,M,60000,1,0,1,0,45,0
11659,S,60000,1,0,1,0,44,0
11660,M,60000,1,0,1,0,45,0
11661,S,60000,1,0,1,0,44,0
11662,S,60000,2,0,1,0,43,0
11663,M,70000,4,0,1,0,44,1
11664,S,70000,4,0,1,0,44,1
11665,M,70000,4,0,1,0,43,1
11666,M,80000,2,0,1,0,43,1
11667,M,70000,2,2,1,1,46,0
11668,S,70000,2,2,1,1,46,0
11669,S,70000,2,2,1,1,46,0
11670,S,70000,2,2,1,1,46,0
11671,S,60000,3,3,0,0,47,1
11672,M,60000,3,3,1,1,47,0
11673,S,60000,3,3,1,1,48,0
11674,M,60000,0,0,1,0,47,0
11675,S,70000,4,0,1,0,48,1
11676,M,80000,0,0,1,0,48,0
11677,S,60000,2,0,1,0,44,0
11678,M,70000,5,0,1,0,45,1
11679,M,70000,5,5,1,2,44,0
11680,M,70000,5,5,1,2,44,0
11681,M,70000,5,5,1,2,44,0
11682,M,70000,5,5,0,2,45,0
11683,M,80000,2,0,1,0,45,1
11684,S,40000,0,0,0,1,48,0
11685,M,40000,0,0,0,1,49,0
11686,S,40000,0,0,0,1,49,0
11687,S,40000,0,0,0,1,48,0
11688,S,80000,3,3,1,2,48,1
11689,M,80000,3,3,1,2,48,0
11690,M,60000,0,0,1,0,49,1
11691,S,40000,0,0,0,1,50,0
